,社名,タイトル,内容
113,株式会社カーチスホールディングス | 東証二部上場｜完全週休二日制・リフレッシュ休暇あり,仕事内容,＼ コロナ禍でも業績好調！成約率は70％以上です ／ ◎法人のお客様に対して、電気代の基本料金を削減できるサービスをご提案していただきます。
114,株式会社カーチスホールディングス | 東証二部上場｜完全週休二日制・リフレッシュ休暇あり,対象となる方,★未経験者も大歓迎★ 元ピザの配達員や旅行会社などの異業種からの転職者も多数活躍中です！ ※学歴不問 ※人と話すことが好きな方は歓迎します
115,株式会社カーチスホールディングス | 東証二部上場｜完全週休二日制・リフレッシュ休暇あり,勤務地,福岡県福岡市中央区長浜1-3-4-2F ※U・Iターン歓迎 ※『 天神駅 』より徒歩10分 〜 〜…
116,株式会社カーチスホールディングス | 東証二部上場｜完全週休二日制・リフレッシュ休暇あり,給与,"月給280,000円以上 ＋ 諸手当 ＋ インセンティブ ※経験や年齢を考慮し、決定します。 ※上記には、みな…"
117,株式会社カーチスホールディングス | 東証二部上場｜完全週休二日制・リフレッシュ休暇あり,初年度年収,300万円～600万円
118,株式会社日明舎 | ゆっくり家族の時間を楽しめる！休みたっぷり「完全週休2日制」,仕事内容,【反響対応型／飛び込みなし】配属された『カーチス』各店舗で自動車の買取・販売をおこないます。★月30～40万円以上のインセンティブも可能です！
119,株式会社日明舎 | ゆっくり家族の時間を楽しめる！休みたっぷり「完全週休2日制」,対象となる方,【未経験の方も大歓迎！】◆高卒以上◆要普免（AT可）※たとえ異業種でも、営業や接客販売の経験が活かせます！★完全週休２日・リフレッシュ休暇も！
120,株式会社日明舎 | ゆっくり家族の時間を楽しめる！休みたっぷり「完全週休2日制」,勤務地,■全国のカーチス店舗・U・Iターン歓迎！ ★希望を考慮して決定致します。 └「転勤の範囲を限定した…
121,株式会社日明舎 | ゆっくり家族の時間を楽しめる！休みたっぷり「完全週休2日制」,給与,■月給22万9000円〜＋インセンティブ ※上記には42時間分の固定残業代5万3400円〜を含みます。超過分は別…
122,日本レーヴ株式会社 | 完全週休2日/残業ほぼなし/30代が中心に活躍中,仕事内容,【 現場のリーダー役を担う！ 】電気設備の点検・メンテナンス工事などにおける設計、施工、現場管理業務　★ENEOSなど大手企業の工場メイン
